,pubmedname,twitterhandle,handlename,descrip,location,follower,friend,K-index
5404,Dickson+W+Lwetoijera,@DLwetoijera,Dickson Lwetoijera,"Medical Entomologist MSc, PhD, MBA-IHI (candidate)","Tanzania, Dar Es Salaam",402,156,1.5028817447887999
5405,Didem+Oguz,@didem9oguz,Didem Oguz,Cardiology Research Fellow @MayoClinic | Future Echocardiography Fellow @MGHHeartHealth #mitral valve #structural heart disease @JACCCaseReports consultant,"Rochester, MN",478,718,7.0840367094118735
5406,Didier+K.+Ekouevi,@dkekouevi,Didier K. EKOUEVI,"Medecin Épidémiologiste, Professeur de Santé Publique, Directeur du Centre de Formation et de Recherche en Santé Publique, Université de Lomé, Togo.",République Togolaise,423,248,2.30653062576433
5407,Didier+Andrivon,@AndrivonD,Andrivon Didier,"Plant pathologist at @INRAE-France #lateblight pop biology, #evolution and management; keen on stamps, blues guitar, golf, family... and much else. Own views_",,157,132,0.9227102758463455
5408,Didier+Boturyn,@DBoturyn,Didier Boturyn,CNRS Senior Scientist,Grenoble,77,109,0.39065490030463845
5409,Didier+Brassard,@didier_dtp,Didier Brassard,"👨🏻‍🔬 PhD student (dietary assessment, nutritional epidemiology, nutrition survey) 🍎 Registered dietitian. 🥋 BJJ brown belt. Opinions are my own.",Canada,191,354,0.8056506072245737
5410,Didier+Cataldo,@DidierCataldo,Didier Cataldo,President of BeRS - Belgian Respiratory Society - Full Professor at University of Liège,"Liege, Belgium",107,299,0.38709383206318687
5411,Didier+Debroas,@DidierDebroas,Didier DEBROAS,"Professor, researcher decrypting the microbial world - Metagenomics, metabacoding and statistics (and touring skier .... not all of the time... ! :-) )","Aubière, France",41,80,0.16781794713239462
5412,Didier+Jean,@Wald_DJ,Didier JEAN,Inserm research scientist (Centre de Recherche des Cordeliers). Alternatively Norman sand castle builder.,"Ile-de-France, France",69,84,0.49754279721848144
5413,Didier+Serteyn,@DidierSerteyn,Didier Serteyn,"Equine clinic. University of liege.  Orthopedy and Surgery. Equine Reseach Center  Mont le soie. Center for Oxygen Research and  Development (CORD), CSO RevaTis",Liege Belgium,40,151,0.24920898413674789
5414,Didier+Snoeck,@DidierSnoeck,Didier Snoeck,Postdoctoral researcher @FWOVlaanderen @UGent Guest professor @VUBrussel fascinated by #selfhealing #concrete with #microfibres and #superabsorbent #polymers,Belgique,154,116,1.059565887930346
5415,Diederik+Gommers,@GommersDiederik,Diederik Gommers,Professor Intensive Care Medicine at Erasmus MC,,2123,1,6.317282195783843
5416,Diego+A.+Alonso,@Diego_Alonso__,Diego Alonso,"Music, literature, visual arts & bicycles! Researcher & Lecturer @HumboldtUni. #musicology #musikwissenschaft","Berlin, Deutschland",120,117,0.6590047540029136
5417,Diego+A.+Golombek,@DiegoGolombek,Diego Golombek,"Biologo. Investigador / Researcher at CONICET.
Profesor Universidad Nacional de Quilmes.","Quilmes, Argentina",58726,95,323.67418962197763
5418,Diego+F.+Cuadros,@DiegoC_Inc,Diego,Professor in Health Geography. University of Cincinnati,Cincinnati - Bogota,27,77,0.17005089023958153
5419,Diego+F+Cuadros,@DiegoC_Inc,Diego,Professor in Health Geography. University of Cincinnati,Cincinnati - Bogota,27,77,0.13622264582822785
5420,Diego+Balboa,@_diegobalboa_,Diego Balboa,"EMBO Postdoctoral Fellow @CRGenomica. PhD @helsinkiuni. Biotechnologist. Interested in functional genomics, pancreatic development and diabetes.",,633,624,3.671945353871051
5421,Diego+Correa,@diefelcorr,Diego F. Correa,"PhD from UQ, current Postdoctoral fellow at @CoralReefs_UQ. Interests in #conservation #restoration #spatialplanning #tropicalecology","Brisbane, Queensland",416,629,1.751958363703991
5422,Diego+Crespo,@Crespacion,Diego Crespo,"I used to be a cool photographer . 
Head of digital, producer and content researcher for the iconic @ROCultureFans . 
Real Oviedo activist .",Oviedo - Madrid - London,1605,489,8.574724698750058
5423,Diego+Cuadros,@DiegoC_Inc,Diego,Professor in Health Geography. University of Cincinnati,Cincinnati - Bogota,27,77,0.2056969606863057
5424,Diego+Diez,@kurai_yousei,Diego Diez,Computational Biologist working on Immunology with #rstats,"Osaka, Japan",113,359,0.4387374508804492
5425,Diego+Esposito,@ddeos,Diego Esposito,Research Scientist @TheCrick / Biophysics PhD / Chemistry MSc Hon / Views are my own 🇮🇹🇪🇺 🏳️‍🌈,"London, England",67,497,0.2835072490793659
5426,Diego+Haro,@ddharo,Diego de Haro,"No soy un 'data scientist', sólo un sociólogo que programa. A ratos, alguna cosa más. // Analizando redes en @aloha_sc",Espagne,262,1284,1.4887596828162863
5427,Diego+Restrepo,@DiegoRestrepoGK,Diego Restrepo,@austinfc @austinfcacademy Goalkeeper Coach. Former Professional goalkeeper. @egkcamps owner,"Austin, TX",3631,621,16.56117982177268
5428,Diego+Rivera,@tehhoyen,"Diego Rivera Gelsinger, Ph.D.","Postdoc in @shsternberg @harriswangnyc labs • Archaea & RNA expert • @SFSU @JohnsHopkins alum • Moving from extremophiles➡️gut, using CRISPR as my guide ✂️🧬🦠",New York City,167,248,1.110109525427588
5429,Diego+Robledo,@Diego___RS,Diego Robledo,"Scientist at the Roslin Institute. Aquaculture genomics and genetics, or something similar. Love animals.","Edinburgh, Scotland",377,434,1.3309826982089115
5430,Diego+Rodriguez,@metacool,Diego Rodriguez,"I love bringing new stuff to life. Prior chapters: @IDEO partner, @Intuit CPO, @stanforddschool founding faculty, @Harvard Board of Overseers",,12363,1292,83.85973134480311
5431,Diego+Ruano,@dRuanoB,Diego Ruano,"Mathematician at @IMUVa_, Mathematics Research Institute at @UVa_es. Researcher in coding theory, cryptography, computer algebra and algebraic geometry.","Valladolid, Espagne",157,252,0.6741481745344008
5432,Diego+Russo,@diegor,Diego Russo,"Principal Software Engineer at @Arm @ ML Group.
Computer scientist, #python lover, curious, techy, nerdy :)
I tweet in EN/ES/IT. Tweets are my own. He/him.","Cambridge, UK",1708,261,5.154458670408473
5433,Diego+Varela,@diegovarela_com,Diego Varela Pedreira,Associate professor of political science @UAICiasi.,"La Corogne, Espagne",166,257,1.0031505886040228
5434,Diego+Yepes,@DieFeYe,Diego Yepes,"scientist, biologist with PhD in proteomics.","Kiel, Schleswig-Holstein",4,40,0.022377044392042068
5435,Diego+di+Bernardo,@diegodidibi,Diego di Bernardo,"Electronic Engineering Naples, PhD Newcastle (UK), PostDoc Sanger Institute (UK), PostDoc Jim Collins Lab (Boston), PI Naples, BioMed Engineering Prof Naples","Naples, Campanie",339,256,0.9657792085944426
5436,Dierk+Niessing,@DierkNiessing,Dierk Niessing,"Biochemist, structural biologist in Germany. Please visit our lab @theNiessingLabs",,19,17,0.08530931088960385
5437,Dieter+Edbauer,@dieter_edbauer,Dieter Edbauer,#FTD #ALS scientist at @DZNE_de and @SyNergy_Cluster focusing on C9orf72 and TDP-43. Trying to go all the way from the ultra-structure to translation.,"Munich, Germany",39,26,0.08944128638485008
5438,Dieter+Korczak,@DieterKorczak,Dieter Korczak,"Soziologe, Publizist, Lecturer",,27,12,0.14521260423738255
5439,Dietmar+Herndler-Brandstetter,@herndler_lab,Dietmar Herndler-Brandstetter,"Group leader, Institute of Cancer Research @MedUni_Wien, trained @Yale #tumorimmunology #cancerresearch","Vienne, Autriche",57,61,0.17706963991154256
5440,Dietmar+Schmitz,@LabSchmitz,Dietmar Schmitz Lab,Dietmar Schmitz Lab at @ChariteBerlin @ECN_Berlin @NeuroCureBerlin. We love #neuronal_circuits  #oscillations #hippocampus #cortex #plasticity and more,"Berlin, Allemagne",280,93,1.005174739928154
5441,Dietrich+A+Stephan,@stediet,Stephan Dietrich,neuroscience phd student @ max delbrück center berlin studying proprioception,"Berlin, Deutschland",83,298,0.32032221722426274
5442,Dieval+Guizelini,@dievalg,Dieval Guizelini,Professor na UFPR,Curitiba - Brasil,66,86,0.7835509533406513
5443,Digvijay+Singh,@DigvijayBJYM,Digvijay Singh,"Vice President BJYM,Bengal || EX-National Incharge STUDY CIRCLE @BJYM, Youth wing BJP | Assistant Professor DU |Policy analyst | Fellow #KASYP |UGC,MHRD",Bharat,9918,222,51.979044959119804
5444,Dike+van+de+Mheen,@dikevandemheen,Dike van de Mheen,"Director IVO Addiction Reserach Institute Rotterdam
Professor Addiction Research, Erasmus University Rotterdam",Rotterdam,23,0,0.10100130141283115
5445,Dileep+R.+Yavagal,@dyavagal,Dileep R. Yavagal,"Harvard, Columbia UCLA trained Interv Stroke Neurologist, Stem Cell Stroke Scientist, UMiami. Global Chair,Mission Thrombectomy2020+. Co-founder SVIN, PastPrez.","Miami, FL, USA",1492,420,6.374848251117254
5446,Dileep+Kadam,@DileepKadam7,Dileep Kadam,Senior IT Professional,,0,15,0.0
5447,Dilek+Boyacioglu,@DilekBoyacioglu,Dr. Dilek Boyacioglu,"Wife, mother, scientist, teacher, entrepreneur, emergency-management trained, animal lover, gardening, acrylic painting","Kansas, USA",20,135,0.12812268715457992
5448,Dilip+Kumar+Mishra,@dilipnhpc,DILIP KUMAR MISHRA,IT EXECUTIVE PROFESSIONAL AT NHPC LTD,"Sikkim, India",6,110,0.05706173329798428
5449,Dilip+Kumar+Pal,@dkpal_2000,Professor Dilip Kumar Pal,"Ex-HoD (till April 2019), Surv&Land Stud, PNG UoT, Papua New Guinea; Ex-HoD Geog & Env Mangmt, VU; Founder HoD, RS&GIS VU, WB, INDIA; Retd Scientist-ISRO, INDIA","Bengale-Occidental, Inde",38,371,0.2955404285607076
5450,Dilip+Kumar,@dkumar02,Dilip Kumar,"Virologist 🦠 , Structural biologist, Science enthusiast, PDRA at BCM","Houston, TX",491,538,2.491059169475032
5451,Dilip+Nathwani,@DilipNathwani,Dilip Nathwani,"OBE, FRCP ; Retired Physician,Emeritus Honorary Professor of Infection, President BSAC 2015-2018; Editor in Chief JAC AMR","Scotland, United Kingdom",1682,79,4.968459832069272
5452,Dilip+Patel,@pateldilip111,Dilip Patel,"A long-time Analytics professional and founder and president of Rang Technologies Inc, a high-performing supplier of Analytics & Data Science Services.","Piscataway, NJ",27,23,0.18855414973381687
5453,Dilli+Ram+Poudel,@dinpou,Dilli Poudel,"PhD in human geography- researching risk governance, political economy of urban growth, migration, forestry and agrarian change, and (transformative) resilience",Kathmandu,26,65,0.14600928090059215
5454,Dilly+O.+C.+Anumba,@dillyanumba,Dilly Anumba,"Professor of Obstetrics and Gynaecology, University of Sheffield, Specialist in Maternal and Fetal Medicine, Director NIHR Research Group PRIME @PRIMEGlobalH","Sheffield, England",471,261,2.087167248788977
5455,Dilly+OC+Anumba,@dillyanumba,Dilly Anumba,"Professor of Obstetrics and Gynaecology, University of Sheffield, Specialist in Maternal and Fetal Medicine, Director NIHR Research Group PRIME @PRIMEGlobalH","Sheffield, England",471,261,2.687152670501426
5456,Dima+A.+Hammoud,@hammoud_dima,Dima Hammoud,Senior investigator in molecular imaging of infectious diseases @IRPatNIH,"Bethesda, MD",53,96,0.3701248124404553
5457,Dimas+Tadeu+Covas,@dimastadeucovas,Dimas Tadeu Covas,"Professor Titular da USP - Linhas de Pesquisa: Células-tronco, hemoterapia, hematologia,biotecnologia, Diretor do Instituto Butantan",São Paulo - Brazil,171,183,1.0384269241503097
5458,Dimitar+Dimitrov,@dimi_z,Dimitar Dimitrov,"Political scientist, global villager, coffee addict. In Wikimedia referred to as 'the Brussels guy'.",Brussels/Sofia,1249,649,4.837665795796892
5459,Dimitra+Peppa,@Peppa_Group,Dimitra Peppa,"Clinician Scientist, Honorary HIV Consultant, Passionate about NK cells and viral infections. Opinions my own","University of Oxford, NDMRB",669,680,2.22936483923313
5460,Dimitri+A.+Christakis,@DAChristakis,Dimitri Christakis,"Pediatrician, researcher @SeattleChildrens, professor at @UW, Passionate expert on early environmental influences on child development.","Seattle, Wash.",1150,23,6.4334002627120945
5461,Dimitri+Perrin,@dperrin,Dimitri Perrin,"Senior Lecturer @QUT. @BMDS_lab group leader. Chief Investigator @QUTDataScience. Gene editing, tissue clearing, sleep, modelling, data science (see website).","Brisbane, Australia",511,614,3.49063950425185
5462,Dimitri+Van+De+Ville,@dvdevill,Dimitri Van De Ville,Computational brain imaging for cognitive & clinical neurosciences. Data science. Signal processing. Happy lab at @EPFL_en and @UniGE_en.,Switzerland,1368,396,5.034019303230035
5463,Dimitri+Van+der+Linden,@dimitrivdl,Dimitri Van der Linden,"Pediatric infectious diseases @ClinUnivStluc @UCLouvain_be
Medical microbiology lecturer @UNamur
Spokesperson FR Belgian Pediatric COVID-19 Task Force",,216,128,1.1355697103272129
5464,Dimitrios+A.+Giannakoudakis,@DaGchem,Dimitrios Giannakoudakis,"Assistant Professor, Institute of Physical Chemistry, Polish Academy of Sciences","Varsovie, Pologne",38,103,0.30213784705726376
5465,Dimitrios+A.+Pantazis,@D_A_Pantazis,Dimitrios A. Pantazis,Research group leader at MPI-KOFO,,188,194,0.7272903566717747
5466,Dimitrios+Anastasiou,@dimhtris,Dimitrios Anastasiou,"Research Economist-Alpha Bank
Adjunct Lecturer-AUEB",Greece,5,9,0.023487908547327182
5467,Dimitrios+Farmakis,@FarmakisD,Dimitrios Farmakis,"Associate Professor, University of Cyprus Medical School; Heart Failure & Cardio-Oncology Specialist",,108,86,0.38995222112020544
5468,Dimitrios+Morikis,@DimitriMorikis,Dimitrios Morikis,"Professor of Bioengineering, University of California, Riverside. #Immunophysics, #Immunoengineering, #DrugDiscovery, #Bioinformatics, #BioMoDeL, #UCRiverside.","Riverside, CA",596,881,2.77548418803897
5469,Dimitrios+Moris,@DimitriosMoris,"Dimitrios Moris MD, MSc, PhD","General Surgery Resident, Aspiring Surgeon-Scientist @DukeSurgRes, Alum @FeaginLeaders, @CCLI, @OSUSurgery, @axsurgery, @uoaofficial",,128,281,1.1334241831836833
5470,Dimitrios+Pantazis,@D_A_Pantazis,Dimitrios A. Pantazis,Research group leader at MPI-KOFO,,188,194,0.4466022846694961
5471,Dimitrios+Papadopoulos,@dim_papad,Dimitrios K Papadopoulos + lab,"Junior PI, Developmental biologist and Geneticist with a love for Biophysics of Transcription Factors, at MRC HGU, opinions are my own","Edinburgh, Scotland",306,324,1.2367370598102663
5472,Dimitrios+Siassakos,@DSiassakos,Dimitrios Siassakos,Associate Professor (Reader) & Consultant in Obstetrics. Own views.,University College London,967,376,3.9190939096607513
5473,Dimitrios+Varvaras,@MdVarvaras,"Dimitrios Varvaras MD, PhD",Oncoplastic and Reconstructive Breast Surgeon Director One Stop Breast Center VTH GVM Care & Research EUASSO General Secretary,"Rome, italy",231,512,1.6518986919813388
5474,Dimitris+K+Agrafiotis,@Agrafdim,Agrafiotis Dimitris,"Μαθηματικός ,Υπ. PhD",Greece,32,109,0.19245010177500685
5475,Dimitris+Beis,@baybeis,Dimitris Beis,"Biomedical Researcher, zebrafish cardiovascular development disease and regeneration, Panathinaikos, dad of 2, sushi lover",,159,409,0.9959478175002804
5476,Dimitris+Lagos,@jimmakos7,Dimitris Lagos,"i tried to be normal...but i didn't like it!!!!

facebook profile:
http://t.co/lecEYNR4W6","Athens,Greece",202,979,0.9618309261466026
5477,Dimitris+Mavridis,@dimi_mavridis,Dimitris Mavridis,"Assistant Professor in Statistics, University of Ioannina","Ioannina, Greece",203,423,0.8962807891267537
5478,Dimitris+Rizopoulos,@drizopoulos,Dimitris Rizopoulos,"Professor of Biostatistics @ErasmusMC, co-Editor @Biostatistics, Teacher @NIHESnl",Rotterdam,1262,80,5.710464357032006
5479,Dimitris+Skokos,@dimitrisskokos,dimitris skokos,"Bio-medical Science
Group leader at the Immunology department of Regeneron Pharmaceuticals, Inc.
Adjunct faculty professor at the Rockefeller University, NYC",NYC,86,57,0.27397832854379217
5480,Dimitris+Tsoukalas,@tsoukaldim,Dimitris Tsoukalas,Research Associate at CERTH/ITI - PhD Student at UoM,"Thessaloniki, Greece",29,65,0.10210717774139808
5481,Dimitris+Vavoulis,@DVVavoulis,Dimitris Vavoulis,"Computational biologist focusing on probabilistic machine learning for the analysis of genomic data @OxfordOncology and @HumanGeneticsOx. BSc, MRes, MSc, PhD","Cheltenham, England",83,127,0.6599326659408656
5482,Dimitris+Vlachopoulos,@Dimitris_Vlach,Dimitris Vlachopoulos,Senior Lecturer in Sport and Health Sciences @ExeterSHS @CHERC_UoE; New Investigator Representative @BoneResearchSoc; Current projects: @panicstudy @SMakeathons,Exeter,396,506,2.467168942953804
5483,Dimitri+van+der+Linden,@dimitrivdl,Dimitri Van der Linden,"Pediatric infectious diseases @ClinUnivStluc @UCLouvain_be
Medical microbiology lecturer @UNamur
Spokesperson FR Belgian Pediatric COVID-19 Task Force",,216,128,1.6799140149766536
5484,Dimitry+N.+Krementsov,@DKrementsov,Dimitry Krementsov,Assistant Prof. at BHSC #UVM. Active researcher and educator in immunology and microbiology. Views are my own.,"Burlington, Vermont",133,133,0.4678656661378044
5485,Dimos+D.+Mitsikostas,@DDMitsikostas,Dimos Mitsikostas,"Professor of Neurology. Headache President Hellenic Headache Society, co chairman Headache Panel European Academy of Neurology",National University of Athens,454,191,1.9831022731468955
5486,Dina+Brooks,@brooksdi,Dina Brooks,"Vice Dean, Faculty of Health Sciences, Professor, McMaster University, Scientist West Park Healthcare Centre, Scientific Editor Physiotherapy Canada,","Hamilton, Ontario",1237,635,3.5192220153075593
5487,Dina+Di+Giacomo,@phd_dina,Dina Di Giacomo,"Clinical Psychology Researcher at University of L'Aquila, IT   - Italian Representative Member in EU COST Actions @COSTprogramme European",Italie,17,81,0.17726501276874893
5488,Dina+Goodman,@DinaGoodman_,Dina Goodman,"PHD candidate studying the intersection of NCDs, nutritional and environmental exposures, and forced migration @HarvardChanSPH. Rescue pup aficionado.","Boston, MA",117,236,0.7003177167311742
5489,Dina+Hafez,@DinaHafez13,Dina Hafez 🥰,"Faculty of Science Master Mansoura
25 may The korean girl😂👌","Egypt , mit ghamr",93,126,0.3698539895931896
5490,Dina+Hajjar,@dinahajja,Dina Hajjar,"Assistant professor @Uofjeddah, PhD in biochemical engineering #KAUST","Jeddah, Kingdom of Saudi Arabia",384,773,2.190799629453392
5491,Dina+Tiniakos,@DinaTiniakos,Dina Tiniakos,Liver pathologist @NKUA @UNEW | #WomenInGI #WomenInMedicine #MedEd,UK & Greece,214,131,0.6531349640728581
5492,Dineke+S.+Verbeek,@dinekeverbeek,Dineke Verbeek,"Associate professor neurogenetics at UMCG, the Netherlands. Mother of Emil and Loesje.","Groningue, Pays-Bas",221,289,1.2363317026603242
5493,Dinesh+K.+Barupal,@dk_barupal,Dinesh Barupal,"Assistant Professor, Environmental Medicine & Public Health, Icahn School of Medicine at Mount Sinai, NY, USA #EMPH
#exposome #metabolomics views are my own.","New York, NY, USA",1437,646,5.7839849713828375
5494,Dinesh+Kumar+Chellappan,@dinesh_kumar78,Dinesh Kumar Chellappan,Respiratory Pharmacology; Inflammation Research; Drug Delivery; Natural Biomolecules; International Medical University,Kuala Lumpur,212,263,1.0608963052999574
5495,Dinesh+Kumar+Singh,@shisdin450,Dinesh Kumar Singh,Assistant professor,"Bulandshahr, India",3,138,0.015263293536578218
5496,Dinesh+S.+Rao,@din_rao,Dinesh Rao,IT professional @SAP Labs with passion for Product development; Big sports enthusiast; Travel freak; Opinion & views r personal.,"Bangalore, India",312,113,0.729879181153843
5497,Dinesh+Agrawal,@cadineshagr,Dinesh Agrawal,Thematic and Motivational Speaker I A trainer in Finance | Avid Quiz Master I A total of IQ + EQ is always 100 Enthusiast I Professional Events Moderator,Bangalore,153,379,0.7635993248437195
5498,Dinesh+Arora,@drdineshias,Dr Dinesh Arora,"MBBS,MA (Eco),MPH, Pursuing DrPH@Johns Hopkins, IAS,Secretary Govt of Kerala, Ex-Dy CEO Ayushman Bharat, Director NITI AAYOG, MD NHM/KMSCL Kerala, Chevener@LSE,","Trivandrum, Kerala, India",24442,1308,270.177291375287
5499,Dinesh+Giri,@TheNxtGrace,Dinesh Giri,"MD @ Kosmos Technology Pvt. Ltd., Aaloknagar, Kathmandu","Dang, Nepal",745,128,5.284564210169161
5500,Dinesh+Jothimani,@DineshJothimani,Dinesh Jothimani,"Transplant Hepatologist @ Dr Rela Institute & Medical Centre. Ultra-marathoner, dog lover","Chennai, India",157,128,0.7856637732645911
5501,Dinesh+Khanna,@sclerodermaUM,Dr. Dinesh Khanna,"👉University of Michigan Scleroderma Program leading the way through excellence in clinical care, teaching, & research #scleroderma tweets≠advice  Follow≠endorse","Ann Arbor, MI",1753,156,3.77960753911414
5502,Dinesh+Mehta,@DineshMehta100,Dinesh Mehta,"Professor at CEPT University, Ahmedabad, India. Urban Planner. Studied at IIT Madras, Harvard and Penn. Worked with UN, NIUA and CEPT",india,1561,102,16.736681341934826
5503,Dinesh+Neupane,@DineshNeupane4,Dinesh neupane,"No teacher, Professor or Anyone else But a Hungry Stomach, an Empty Pocket & a Broken Heart can teach the most Important lessons of LIFE!!","Bharatpur-2,Chitwan,Nepal",56,202,0.19343523412577032
5504,Dinesh+Pradhan,@dineshjpradhan,Dinesh Pradhan,Read. Research.  Design,,123,237,0.7544461371814969
5505,Dinesh+Rakheja,@dinesh_rakheja,Dinesh Rakheja,Pediatric pathologist #PediPath #PedsPath #Pathology Tweets/opinions my own & ≠ medical advice,,828,354,3.7689818493575498
5506,Dinesh+Rao,@din_rao,Dinesh Rao,IT professional @SAP Labs with passion for Product development; Big sports enthusiast; Travel freak; Opinion & views r personal.,"Bangalore, India",312,113,2.8084425568693128
5507,Dinesh+Rawat,@drawat123,Dinesh Singh Rawat,Research Journalist Turned Advocate  .,India,234,399,2.322560253785822
5508,Ding+Ding+Wang,@DingPKU,Ding Wang,Full Professor at NKU; Used to be Lecturer&PostDoc&PhD at PKU; Passwords; Authentication; Cryptographic Protocols; Provable security; https://t.co/5766uGFnd3,Tianjin,271,622,1.4337762907622782
5509,Ding+Huang,@elaine_d_huang,Ding Huang,PhD candidate at Universität Heidelberg|Member of HGGS|Early Modern English|Historical pragmatics|Corpus linguistics,"Heidelberg, Allemagne",101,152,0.6133398791764988
5510,Ding+Li,@DingLiTing,Ding Li,I help companies to make better profit while solving climate change. Senior Strategy Consultant at Longevity Partners.,"London, England",97,76,0.41110640140217175
5511,Ding+Lin,@caasdinglin,Ding lin,"research areas are includes using the theory and methods of bibliometrics, competitive intelligence,now I moved to Cairo n contribute the bilateral matters",cairo zamalek,7,120,0.056308471578203345
5512,Ding+Nan,@Nandin66,Ding Nan,Assistant professor at Department of Economics and Management in Beijing University of Sci&Technology. Doctor of management,People's Republic of China,27,67,0.2099892518720817
5513,Ding+Wang,@DingPKU,Ding Wang,Full Professor at NKU; Used to be Lecturer&PostDoc&PhD at PKU; Passwords; Authentication; Cryptographic Protocols; Provable security; https://t.co/5766uGFnd3,Tianjin,271,622,0.7592915827440719
5514,Ding+Yang,@FafHomr,Yang Ding,Chemistry PhD at University of Notre Dame,"Mishawaka, IN",7,76,0.04338150319053667
5515,Ding+Zhao,@zhao__ding,Ding Zhao,"Assistant Professor, CMU","Pittsburgh, PA",87,32,0.5821490060697976
5516,Ding+Zhou,@zhouding33,Joe Ding Zhou,"PhD Candidate in Design @ QUT (Queensland University of Technology) Australia; A.Professor in Industrial Design @ Nanjing University of the Arts, China","Brisbane, Queensland, Australia",9,74,0.03524664823045338
5517,Dingcai+Cao,@dcao98,Dingcai Cao,"I am an Associate Professor @ Ophthalmology, UIC, specializing human perception research.","Chicago, IL",11,242,0.053912267482970455
5518,Dingfeng+Li,@dingfeng_li,"Dingfeng Li MD, MSc","Endocrinology fellow (Class of 2021), Assistant professor@ Mayo Clinic. Father, Husband. Opinions represent myself only.",,56,60,0.5223438380443793
5519,Dinh-Toi+Chu,@chuhannyn,Dinh-Toi Chu,"Manager at Hội du học sinh Việt Nam; PhD Candidate at PAN, Poland; and Researcher and Lecturer at HNUE, Vietnam",Poland,17,36,0.05021630032412463
5520,Dinh+Phung,@quocdinh,Dinh Phung,Professor at Monash University and Chief AI Scientist at TrustingSocial,"Melbourne, Australia",13,12,0.04875933988850169
5521,Dino+P.+McMahon,@strepsipterman,Dino McMahon,"Evolution and ecology, host-parasites, social insects. Assist. Prof. @FU_Berlin and @BAMResearch","Berlin, Allemagne",397,363,1.6157506380983038
5522,Dino+Luethi,@DinoLuethi,Dino Luethi,"Neuropharmacologist with strong interest in #stimulant and #psychedelic research 🔬💊 Currently affiliated with @MedUni_Wien, @tuvienna, and @UniBasel.",Vienna,33,50,0.18603969153844127
5523,Dino+Pisaniello,@dpisaniello,Dino Pisaniello,University Lecturer,,23,0,0.08742867916328452
5524,Dino+Samartzis,@DinoSamartzis,Dino Samartzis,"Associate Professor, Dept Orthopaedic Surgery, RUSH; Director ISRII, RUSH; Chair AO Spine Research; Research on spine degeneration & pain, precision spine care",,220,372,0.6542941910721922
5525,Diogo+Assed+Bastos,@DiogoAssed,Diogo Assed Bastos,Medical oncologist and clinical researcher focused on Genitourinary oncology at @hsiriolibanes and @Icesp_,"Sao Paulo, Brazil",494,318,4.6980827082007055
5526,Diogo+S.+Teixeira,@Diogo_tei,Diogo S. Teixeira,Exercise Professional; Professor and Researcher @ FEFD/ULHT; Physical Activity and Health PhD,"Odivelas, Portugal",34,43,0.29640180659208665
5527,Diogo+Barardo,@BarardoD,Diogo G. Barardo,"#PhD #Student, #Researcher, #aging, #healthspan, #DrugAge","Gruber Lab, Yale-NUS, Singapor",180,277,0.8260089200412224
5528,Diogo+Cavaco,@cavaco_diogo,Diogo Cavaco,"Cardiologist/Electrophysiologist Hospital de Santa Cruz, Lisbon, PT; Hospital da Luz, Lisbon, PT; MSc, London School of Economics and political Science",,531,421,5.0499633968716084
5529,Diogo+Coutinho,@DiogoAMCoutinho,Diogo Coutinho,"⚽️ Assistant Coach in Professional Football
⚽️ PhD in Sports Science - performance analysis, task constraints and Small-sided games in association football",Vila Real - Portugal,1432,941,9.39793994095473
5530,Diogo+Meyer,@meyer_diogo,Diogo Meyer,"Professor of Evolutionary Biology at the University of São Paula, in Brazil",,67,42,0.2633833635657513
5531,Diogo+Pratas,@DXPratas,Diogo Pratas,"Computer scientist
University of Aveiro

0000-0003-1176-552X

#bioinformatics #virology
#datacompression #algorithms
#AIT #reproducibility",Aveiro ,858,856,5.088245048997123
5532,Diogo+Ribeiro,@Diogo_M_Ribeiro,Diogo Ribeiro,"Postdoc in Bioinformatics @DelaneauGroup
 at University of Lausanne","Lausanne, Switzerland",67,131,0.41095846496878286
5533,Dion+Dickman,@dion_synapse,Dion Dickman,"Synaptic plasticity in lab and life! Assoc Prof of Neuroscience @USC, homeostasis","Los Angeles, CA",748,681,3.4758777910358067
5534,Dionysios+V.+Chartoumpekis,@dchartoumpekis,Dionysios Chartoumpekis,"MD, PhD. Physician Scientist  in Endocrinology and Metabolism. Research on type 2 diabetes, obesity and stress response pathways (Keap1/Nrf2, Fgf21, Notch).","University of Patras, Greece",77,181,0.4073829313235993
5535,Dipak+K.+Sarkar,@DipakKSarkar2,Dipak K. Sarkar,Distinguished Professor and Director," Rutgers University, NJ",5,4,0.02122506962445081
5536,Dipak+P.+Ramji,@DipakRamji5,Dipak Ramji,Professor of Cardiovascular Science in the School of Biosciences at Cardiff University.,Cardiff University,20,43,0.0672106480283864
5537,Dipak+Mitra,@Dipakjoemike,Dipak Mitra,"M.D., music & nature lover, ophthalmologist, interested in mycology, painting & photography, seeking opportunities in research work.",,12,116,0.07021502170866029
5538,Dipak+Sapkota,@dipaksapkota,Dipak Sapkota,Communication Professional,Kathmandu,3438,1758,19.233069654960158
5539,Dipankar+Bhowmik,@Dipankar_11,Dipankar Bhowmik,PhD Candidate | Organic Chemist | IISc,"Bengaluru, India",19,171,0.15870773997130028
5540,Dipankar+Ghosh,@dipankarghsh134,Dipankar Ghosh,I am an Assistant Professor of Mathematics at Indian Institute of Technology Hyderabad (IIT Hyderabad).,Hyderabad,12,24,0.08197196487479882
